,Nom,Infos,Prix,Date
0,ASRock AMD Radeon RX 6600 Challenger D 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 6600),229€95,2024-10-22
1,ASRock AMD Radeon RX 6750 XT Phantom Gaming D 12GB OC,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 6750 XT),399€95,2024-10-22
2,ASRock AMD Radeon RX 7600 Challenger 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600),299€95,2024-10-22
3,ASRock AMD Radeon RX 7600 Phantom Gaming 8GB OC,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600),349€94,2024-10-22
4,ASRock AMD Radeon RX 7600 Steel Legend 8GB OC,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600),339€95,2024-10-22
5,ASRock AMD Radeon RX 7600 XT Challenger 16GB OC,16 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 7600 XT),369€95,2024-10-22
6,ASRock AMD Radeon RX 7600 XT Steel Legend 16GB OC,16 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (AMD Radeon RX 7600 XT),389€95,2024-10-22
7,ASRock AMD Radeon RX 7700 XT Challenger 12GB OC,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7700 XT),459€95,2024-10-22
8,ASRock AMD Radeon RX 7700 XT Phantom Gaming 12GB OC,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7700 XT),479€95,2024-10-22
9,ASRock AMD Radeon RX 7700 XT Steel Legend 12GB OC,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7700 XT),479€95,2024-10-22
10,ASRock AMD Radeon RX 7800 XT Challenger 16GB OC,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7800 XT),564€95,2024-10-22
11,ASRock AMD Radeon RX 7800 XT Phantom Gaming 16GB OC,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7800 XT),599€95,2024-10-22
12,ASRock AMD Radeon RX 7800 XT Steel Legend 16GB OC,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7800 XT),579€95,2024-10-22
13,ASRock AMD Radeon RX 7900 GRE Steel Legend 16GB OC,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7900 GRE),649€95,2024-10-22
14,ASRock AMD Radeon RX 7900 XT Phantom Gaming 20GB OC,20 Go GDDR6 - HDMI/Tri-DisplayPort - PCI Express (AMD Radeon RX 7900 XT),819€95,2024-10-22
15,ASRock AMD Radeon RX 7900 XT Phantom Gaming White 20GB OC,20 Go GDDR6 - HDMI/Tri-DisplayPort - PCI Express (AMD Radeon RX 7900 XT),819€95,2024-10-22
16,ASRock AMD Radeon RX 7900 XTX Phantom Gaming 24GB OC,24 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7900 XTX),999€95,2024-10-22
17,ASRock AMD Radeon RX 7900 XTX Taichi White 24GB OC,24 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7900 XTX),1 099€95,2024-10-22
18,ASRock Intel Arc A380 Challenger ITX 6GB OC,6 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (Intel Arc A380),149€95,2024-10-22
19,ASRock Intel Arc A750 Challenger D 8GB OC,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - PCI Express (Intel Arc A750),259€95,2024-10-22
20,ASRock Intel Arc A770 Challenger 16GB OC,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (Intel Arc A770),339€95,2024-10-22
21,ASRock Radeon RX 6400 Challenger ITX 4GB,4 Go GDDR6 - HDMI/DisplayPort - PCI Express (AMD Radeon RX 6400),159€95,2024-10-22
22,ASRock Intel Arc A310 Low Profile 4GB,4 Go GDDR6 - HDMI/DisplayPort - PCI Express (Intel Arc A310),105€95,2024-10-22
23,ASRock Radeon RX 6500 XT Phantom Gaming 8GB,8 Go GDDR6 - HDMI/DisplayPort - PCI Express (AMD Radeon RX 6500 XT),219€95,2024-10-22
24,ASUS DUAL GeForce RTX 3050 OC O6G,6 Go GDDR6 - HDMI/DisplayPort/DVI - PCI Express (NVIDIA GeForce RTX 3050),214€95,2024-10-22
25,ASUS DUAL GeForce RTX 3050 V2 OC O8G,8 Go GDDR6 - DVI/HDMI/DisplayPort - PCI Express (NVIDIA GeForce RTX 3050),259€95,2024-10-22
26,ASUS Dual GeForce RTX 4060 EVO OC Edition 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),359€95,2024-10-22
27,ASUS Dual GeForce RTX 4060 Ti White OC Edition 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),469€95,2024-10-22
28,ASUS Dual GeForce RTX 4070 SUPER EVO White OC Edition 12GB GDDR6X,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),749€95,2024-10-22
29,ASUS Dual GeForce RTX 4070 Ti SUPER OC Edition 16GB,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER,959€95,2024-10-22
30,ASUS Dual Radeon RX 7600 XT OC Edition 16GB GDDR6,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600 XT),379€95,2024-10-22
31,ASUS Dual Radeon RX 7700 XT O12G,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7700 XT),479€95,2024-10-22
32,ASUS Dual Radeon RX 7800 XT O16G,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7800 XT),599€95,2024-10-22
33,ASUS DUAL Radeon RX 7900 XT OC Edition 20GB GDDR6,20 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7900 XT),869€95,2024-10-22
34,ASUS DUAL Radeon RX 7900 XTX OC Edition 24GB GDDR6,24 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7900 XTX),1 169€95,2024-10-22
35,ASUS GT730-SL-2GD5-BRK - GeForce GT 730 2 Go,2 Go HDMI/DVI - PCI Express (NVIDIA GeForce avec CUDA GT 730),77€95,2024-10-22
36,ASUS Radeon RX 6600 DUAL V2 8G,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 6600),259€95,2024-10-22
37,ASUS Radeon RX 7600 DUAL O8G,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600),299€95,2024-10-22
38,ASUS ROG Strix GeForce RTX 4070 SUPER OC Edition 12 GB,12 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),899€95,2024-10-22
39,ASUS TUF Gaming GeForce RTX 4060 Ti OC Edition 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),499€95,2024-10-22
40,ASUS TUF Gaming GeForce RTX 4070 SUPER OC Edition 12 GB,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),839€95,2024-10-22
41,ASUS TUF Gaming Radeon RX 7600 XT OC Edition 16GB GDDR6,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600 XT),459€95,2024-10-22
42,ASUS TUF Gaming Radeon RX 7900 XTX OC Edition 24GB GDDR6,24 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7900 XTX),1 099€95,2024-10-22
43,ASUS TUF Radeon RX 7800 XT O16G Gaming,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7800 XT),639€95,2024-10-22
44,ASUS TUF Radeon RX 7800 XT OG O16G Gaming,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7800 XT),589€95,2024-10-22
45,ASUS Dual GeForce RTX 4060 White OC Edition 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),374€95,2024-10-22
46,ASUS ProArt GeForce RTX 4070 Ti SUPER OC Edition 16GB,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),1 099€95,2024-10-22
47,ASUS ROG Strix GeForce RTX 4070 Ti SUPER OC Edition 16GB,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),1 169€95,2024-10-22
48,ASUS TUF Gaming GeForce RTX 4070 Ti SUPER BTF White OC Edition 16GB,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),1 099€95,2024-10-22
